id;priorite;code;lib_en;lib_ar;val_origin;val_calcul;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;55305;project Home;Checking;Corner;718;78973;2021-11-05T05:21:22;Tajikistan multi-byte;instruction Tasty;(Bouvetoya);Generic;true;2021-11-04T18:07:17;2021-11-05T11:10:41
2;6549;Awesome Chips Phased;Chair Clothing mindshare;Texas Outdoors Generic;31503;53995;2021-11-04T21:37:50;calculate task-force;Generic architectures SMTP;Forward Sports Administrator;Nicaragua world-class Checking;false;2021-11-05T09:59:13;2021-11-05T07:58:35
3;51145;Creative Optimization Secured;Steel primary Car;online port Customer;66858;57107;2021-11-05T00:38:51;Implementation card;GB Sol Tuvalu;USB Bedfordshire Awesome;Health Uganda;false;2021-11-05T10:47:47;2021-11-04T20:39:21
4;77900;portals;Pants Extension;Baby interface Concrete;93709;62438;2021-11-04T13:43:50;withdrawal Customer;Berkshire Handmade Account;Bacon;Savings Customer;true;2021-11-05T05:07:10;2021-11-05T08:58:18
5;11118;granular yellow;system;program;12762;2600;2021-11-04T23:05:14;Fresh transform;Metal payment withdrawal;invoice Cotton parsing;payment Vista;true;2021-11-05T06:35:54;2021-11-04T17:03:13
6;34982;enhance seize disintermediate;parse architectures transition;Rubber Islands;44095;166;2021-11-04T20:54:37;benchmark;Table;benchmark withdrawal;Forward primary red;false;2021-11-05T00:18:49;2021-11-05T06:32:08
7;61797;Metal panel;pixel;hack;69778;38964;2021-11-05T03:22:47;Tennessee Handcrafted challenge;Bedfordshire;Senior Engineer;Principal;true;2021-11-05T04:27:43;2021-11-04T19:45:47
8;71706;Electronics;Web encompassing;Architect;70223;99428;2021-11-05T01:08:01;Lead;indexing;Chicken;connecting Future;true;2021-11-05T02:42:42;2021-11-04T17:50:40
9;59035;Directives Gorgeous;reboot Fresh;Illinois Lira Web;61047;3784;2021-11-04T21:26:59;Club;collaborative exploit Congolese;Fundamental;compressing International Human;true;2021-11-05T03:05:54;2021-11-04T23:27:20
10;47796;bypass Serbia Heights;bypass Unbranded hybrid;Intelligent systemic Designer;33977;75183;2021-11-04T18:31:42;Wyoming panel;leverage Berkshire Research;Savings Licensed Regional;fuchsia SDD Frozen;true;2021-11-04T13:19:35;2021-11-05T07:01:53
