id;annee;full_pay_right;half_pay_right;full_pay;half_pay;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;42074;21316;29242;43979;38413;deposit Handcrafted Developer;2021-11-05T00:39:52;generating back;engine Integration compressing;true;2021-11-04T17:31:42;2021-11-04T18:36:41
2;90035;79213;24614;92743;18152;program input;2021-11-05T08:39:17;Divide Cambridgeshire web;Operations;false;2021-11-05T11:14:13;2021-11-05T11:49:51
3;19062;67593;51850;11767;59070;connect;2021-11-04T14:26:43;leading-edge sky Shirt;multi-byte up ivory;true;2021-11-05T01:41:41;2021-11-05T07:14:05
4;55142;5852;52396;38522;17343;panel generating Chile;2021-11-05T10:47:20;Bedfordshire;Wyoming redundant Factors;false;2021-11-04T13:43:13;2021-11-04T20:59:47
5;6786;45848;10708;31353;83215;Paradigm quantifying;2021-11-04T21:19:33;Metrics Music Factors;algorithm Riyal blockchains;false;2021-11-05T08:58:25;2021-11-04T23:07:41
6;32892;15367;40722;23611;57772;Cambridgeshire hacking Pants;2021-11-05T12:48:01;capacity;brand Avon Division;false;2021-11-05T11:14:58;2021-11-04T15:55:55
7;17949;33081;84396;4575;7134;connect Timor-Leste;2021-11-04T15:45:59;virtual composite Gorgeous;Legacy XSS;false;2021-11-05T01:35:30;2021-11-05T00:09:43
8;7823;35699;44954;79725;68132;Fresh Principal;2021-11-05T03:23:57;Handcrafted;virtual solid Enterprise-wide;false;2021-11-04T20:00:31;2021-11-05T07:19:48
9;54509;18221;2614;89587;2498;Checking;2021-11-04T19:06:38;Tools system alarm;deploy Automotive throughput;true;2021-11-05T02:18:56;2021-11-05T03:52:31
10;22415;2905;79072;51540;58806;Fantastic;2021-11-05T07:19:35;Incredible Buckinghamshire;Web copy Personal;true;2021-11-05T00:41:01;2021-11-04T20:55:14
