id;priorite;code;lib_en;lib_ar;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;77286;invoice;Soft data-warehouse deliverables;whiteboard Future Handmade;2021-11-05T08:32:37;Identity Customer-focused Balanced;bandwidth;back-end Investment;e-enable Kwacha Metal;true;2021-11-04T13:31:30;2021-11-04T19:44:56
2;36845;Savings Technician;copying bluetooth Hat;Frozen;2021-11-04T23:04:00;maroon;Producer PCI 24/365;Coordinator encryption;yellow Plastic;true;2021-11-04T21:51:57;2021-11-04T15:29:56
3;85867;Marketing Minnesota Zambian;supply-chains Investor Open-source;New multi-byte back-end;2021-11-05T08:13:22;Brand;transmitting Solutions;technologies utilize;monitor magenta;false;2021-11-04T14:11:50;2021-11-04T20:56:47
4;57549;Views Factors;convergence multimedia;SAS flexibility Platinum;2021-11-05T08:52:16;visionary plum;hack;sticky Avon magenta;virtual purple;true;2021-11-04T20:40:17;2021-11-04T23:57:10
5;90922;green;impactful virtual Kiribati;synthesizing;2021-11-05T10:49:31;Bacon Market;partnerships synthesizing;Cambridgeshire;utilize;false;2021-11-05T06:23:39;2021-11-05T01:58:08
6;87170;Viaduct Granite deposit;transmit magenta;Albania Account online;2021-11-04T16:35:40;New Djibouti back;Buckinghamshire Taiwan deposit;Wall capacitor;Profit-focused;false;2021-11-04T19:21:31;2021-11-05T07:24:24
7;32958;open-source;encoding Legacy;Steel recontextualize;2021-11-04T16:50:06;Direct Practical;Functionality Account;Practical Shoes;Gloves Jewelery;true;2021-11-04T14:35:49;2021-11-04T14:42:37
8;54742;cyan Forint application;incentivize explicit Checking;Quality Cambridgeshire connect;2021-11-04T14:27:47;Account Open-source;Common;Ergonomic;HDD orchid Generic;false;2021-11-04T23:57:51;2021-11-04T13:25:22
9;37744;interface paradigms;synthesizing Object-based;Dollar Outdoors;2021-11-04T21:04:47;partnerships Borders;Directives matrix Account;cross-platform Monaco;Boliviano capacitor Investor;false;2021-11-05T00:39:31;2021-11-05T07:22:36
10;7672;transmit;Louisiana Program;Pants hacking;2021-11-05T09:10:56;incubate;Officer object-oriented Sheqel;national neural;HTTP Producer National;false;2021-11-05T11:21:40;2021-11-04T23:51:14
