id;date_debut;date_fin;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;2021-11-05;2021-11-04;Somalia leverage;2021-11-04T20:34:06;Plastic compress indexing;Granite Compatible definition;true;2021-11-05T01:40:22;2021-11-05T06:28:21
2;2021-11-04;2021-11-05;Pizza Intelligent;2021-11-05T04:15:15;Officer Kentucky;Industrial;true;2021-11-05T04:05:09;2021-11-04T18:05:47
3;2021-11-04;2021-11-04;grid-enabled Virginia seize;2021-11-05T00:29:54;Account;Maine back-end indigo;true;2021-11-04T22:29:05;2021-11-04T22:34:40
4;2021-11-04;2021-11-05;withdrawal Buckinghamshire blue;2021-11-05T01:33:43;stable recontextualize;enhance;false;2021-11-05T01:02:02;2021-11-05T02:53:32
5;2021-11-05;2021-11-05;Future JSON systems;2021-11-05T08:25:47;Cambridgeshire portals Associate;productize needs-based AGP;true;2021-11-05T04:41:04;2021-11-04T23:35:35
6;2021-11-04;2021-11-05;architect cultivate programming;2021-11-04T21:44:49;Human Berkshire;compress Reunion Grocery;false;2021-11-05T05:37:55;2021-11-05T00:18:01
7;2021-11-04;2021-11-04;generate;2021-11-05T02:32:58;Soft bypass Manager;Dynamic Cambridgeshire;false;2021-11-05T07:03:26;2021-11-04T19:02:47
8;2021-11-04;2021-11-05;Eritrea bypassing program;2021-11-04T15:45:09;Som;Intelligent;false;2021-11-04T14:15:09;2021-11-05T04:26:48
9;2021-11-05;2021-11-05;solid back;2021-11-05T09:28:15;capacitor;Shilling Fresh;true;2021-11-05T08:52:01;2021-11-04T13:56:47
10;2021-11-05;2021-11-05;cutting-edge;2021-11-04T15:37:07;Licensed Berkshire compressing;port;false;2021-11-04T16:35:32;2021-11-04T22:20:12
