id;code;lib_ar;lib_en;dateop;util;modified_by;op;is_deleted;created_date;modified_date
1;Outdoors Forge;technologies navigate Metal;monitoring Concrete;2021-11-04T17:35:04;context-sensitive Borders;Dynamic synthesizing Toys;RSS Shoal;true;2021-11-05T11:02:59;2021-11-05T02:42:38
2;Quality high-level;connect Ergonomic;infomediaries end-to-end Re-contextualized;2021-11-04T23:11:14;AGP Uzbekistan;microchip Product;Games;false;2021-11-05T05:42:18;2021-11-04T15:40:33
3;Fully-configurable synthesize;bypass input;Rustic;2021-11-05T07:32:35;even-keeled salmon;Sudan backing Wyoming;New calculating Officer;false;2021-11-04T13:39:18;2021-11-04T20:45:02
4;multi-byte protocol;Fully-configurable transmitting;maroon;2021-11-04T13:57:37;system;Intuitive;Executive;true;2021-11-05T10:18:19;2021-11-05T00:22:16
5;Cambridgeshire;Concrete orange input;GB;2021-11-05T03:13:58;Automated Configuration;visionary Tuna Intelligent;Forward Money;true;2021-11-05T00:35:57;2021-11-04T21:49:52
6;Cambridgeshire Libyan Movies;Vision-oriented moderator withdrawal;User-friendly Consultant;2021-11-04T15:25:05;Global monitor incentivize;Cotton deposit Customizable;solid Handcrafted Avon;false;2021-11-05T07:32:33;2021-11-04T17:10:56
7;Avon SAS;Bolivia process Forward;Architect Sausages Music;2021-11-04T15:25:22;deposit;Global Falls;Dominica transmitter withdrawal;true;2021-11-05T11:27:11;2021-11-05T04:29:16
8;Architect Infrastructure CSS;Customer magenta;Table Stand-alone olive;2021-11-05T01:49:53;Oregon;leading-edge Maldives monetize;withdrawal;true;2021-11-04T16:36:18;2021-11-05T06:10:24
9;tan Factors Uganda;monitor;Wooden AI Refined;2021-11-04T23:57:00;portal Orchestrator quantify;RSS projection Cook;Accountability deposit Awesome;false;2021-11-05T01:01:21;2021-11-05T01:39:10
10;Fresh dot-com;strategize;National transmitting sensor;2021-11-05T10:00:41;salmon;De-engineered Idaho;Islands, Movies;false;2021-11-04T21:46:21;2021-11-04T17:48:49
