id;code;lib_en;lib_ar;anne_debut;annee_fin;mois_debut;mois_fin;dateop;modified_by;created_by;util;op;is_deleted;created_date;modified_date
1;Multi-lateral workforce programming;mobile multimedia Metal;dot-com Motorway;9508;21426;32293;84729;2021-11-04T22:30:44;Engineer Junction Carolina;Baby;deploy;Soap leverage;true;2021-11-05T08:51:17;2021-11-04T16:45:07
2;Brand;Metrics;Mandatory Shirt;72806;10875;80930;86428;2021-11-04T16:36:01;hacking;Alaska Buckinghamshire;Bike monetize;Practical Steel functionalities;false;2021-11-04T23:28:41;2021-11-04T22:39:18
3;bluetooth;contingency;Synergized Arizona project;77492;66334;44407;12689;2021-11-04T17:08:10;PNG Metal Chair;open-source convergence Unbranded;open-source repurpose;Bike Berkshire Director;true;2021-11-05T09:52:09;2021-11-05T07:54:53
4;Corporate Plastic;Intelligent Optimization deposit;quantify transition Summit;91831;49860;78060;10131;2021-11-04T16:49:29;repurpose;Technician Cheese interactive;ubiquitous firmware;HTTP;true;2021-11-04T19:24:12;2021-11-04T20:43:34
5;Berkshire;Cross-group asymmetric;invoice;45875;67521;49810;17540;2021-11-05T02:32:15;Checking Checking Jewelery;Practical Bedfordshire Regional;Graphic Towels;Tactics Wooden;false;2021-11-05T04:43:46;2021-11-05T08:22:16
6;Boliviano port;system parsing Berkshire;Cotton Expanded;24340;35647;67305;35741;2021-11-04T19:50:59;aggregate;Ohio digital Beauty;bandwidth;Tala Ramp;true;2021-11-05T02:10:18;2021-11-04T19:37:30
7;invoice;HDD web interactive;Tasty;17263;67511;19968;79258;2021-11-04T19:40:11;Brand recontextualize demand-driven;Integration;Human Director plum;invoice e-business Refined;true;2021-11-05T11:30:12;2021-11-05T03:15:44
8;rich;Tuna Granite;calculating Avon;20844;69497;71753;93394;2021-11-05T10:40:57;Frozen;Auto;synergies;Metal synergize Senior;false;2021-11-05T05:03:43;2021-11-04T14:50:37
9;cultivate markets;Global Dynamic;mission-critical;65995;34634;55648;16158;2021-11-04T14:39:10;Liaison;Tennessee hard;Rufiyaa action-items;plum;true;2021-11-05T07:40:38;2021-11-04T15:58:06
10;Internal Soap Savings;fault-tolerant;Money panel Practical;59718;38669;58955;24700;2021-11-04T23:59:36;Strategist;Analyst;PNG Paraguay Fresh;Personal Representative;false;2021-11-05T08:07:14;2021-11-05T01:29:46
