id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Syrian Concrete PCI;Legacy Bedfordshire Books;blue plum;definition;2021-11-04T16:30:19;Horizontal overriding Associate;Alabama Buckinghamshire;true;2021-11-04T15:00:43;2021-11-05T11:07:58
2;Garden;Borders 24/7;Sausages Checking;Dakota Cambridgeshire;2021-11-05T11:07:10;Movies;Salad bypass Loan;false;2021-11-04T22:38:11;2021-11-04T14:19:03
3;copy Small bandwidth;Guarani;Dakota;Czech Australian;2021-11-05T08:22:58;transmit revolutionary communities;Metal;false;2021-11-05T00:06:56;2021-11-04T20:55:23
4;redundant synthesize;Metal enhance override;leverage;Progressive e-enable;2021-11-04T17:35:34;clicks-and-mortar;XML transition;false;2021-11-04T15:25:56;2021-11-05T09:11:25
5;North;Quality-focused cross-media;Refined;Borders;2021-11-04T17:36:20;aggregate Beauty circuit;input fuchsia;false;2021-11-04T21:21:09;2021-11-04T19:13:08
6;knowledge multi-byte;(customarily;Rubber Soft experiences;Buckinghamshire Human;2021-11-04T14:09:07;USB Account driver;synergies Strategist;true;2021-11-05T05:37:56;2021-11-05T10:53:08
7;Planner;Lakes;Buckinghamshire purple;parse Junction;2021-11-04T23:27:43;Horizontal Rustic extensible;Table cyan firewall;false;2021-11-05T08:34:44;2021-11-05T08:04:27
8;e-business Missouri;Identity Berkshire;hacking;SQL green;2021-11-04T16:25:49;application embrace;Fish;true;2021-11-05T00:09:54;2021-11-04T19:34:46
9;Small policy feed;Soft;Silver pink payment;invoice open-source Cotton;2021-11-05T10:47:18;Buckinghamshire;Shoes deposit navigating;true;2021-11-04T15:44:49;2021-11-04T19:55:53
10;ROI;Loan Keyboard Metal;Hat Ghana;Dynamic;2021-11-04T19:10:53;Extended Argentine;circuit Beauty copy;false;2021-11-05T10:47:23;2021-11-04T19:53:06
