id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Research gold;user-centric withdrawal pixel;River programming;Account Corporate;2021-11-05T08:38:19;Cotton Bridge;benchmark;false;2021-11-04T22:48:29;2021-11-05T02:24:30
2;Cheese;RSS Granite;Investment Games;Vatu;2021-11-05T08:32:05;payment;Account Account;true;2021-11-05T10:21:15;2021-11-04T14:22:02
3;Frozen gold;Birr Forward;Fresh Garden;user-facing Loan;2021-11-05T05:48:15;mobile;Buckinghamshire;false;2021-11-05T05:01:52;2021-11-05T10:48:13
4;Games;ubiquitous;program;Rubber;2021-11-04T23:54:50;Account motivating Mouse;Cotton time-frame Account;true;2021-11-05T08:08:50;2021-11-05T10:31:54
5;Consultant;Investor green Toys;Focused payment;Auto;2021-11-05T12:59:03;bluetooth calculate;Facilitator intuitive Checking;false;2021-11-05T00:07:24;2021-11-05T08:14:39
6;target;Money Shoes;Peso withdrawal;Loan Unbranded paradigms;2021-11-05T09:32:46;Plastic synergize synthesize;Dynamic hack;false;2021-11-04T23:08:26;2021-11-05T11:02:35
7;Applications;Specialist;Future Future;Investment Sharable;2021-11-04T13:36:44;compressing sticky;expedite Groves;true;2021-11-04T22:59:00;2021-11-04T23:49:26
8;generation Ngultrum Fantastic;compress Colon;Canyon Sleek;Metal;2021-11-05T12:22:57;Frozen Avon;secured;true;2021-11-04T14:40:19;2021-11-05T10:09:17
9;Representative index;Course Awesome Soft;synthesize JSON;Berkshire Table Handcrafted;2021-11-05T00:28:01;Dynamic transmit;Plastic Fantastic;true;2021-11-05T08:25:34;2021-11-04T21:03:31
10;Group Producer;Applications;state Persevering;Illinois local;2021-11-05T04:08:30;Account;core;false;2021-11-05T08:13:49;2021-11-04T15:48:04
