id;util;code;lib_ar;lib_er;calcul_val;effect_val;taux_abs;final_val;effect_val_devise;taux_change;date_calcul;date_effect;calcul_by;effect_by;date_situation;dateop;modified_by;created_by;op;is_deleted;created_date;modified_date
1;deposit;Fresh Licensed;Orchestrator Morocco;Specialist;10614;70226;19287;74424;33742;72444;2021-11-05;2021-11-05;purple index;withdrawal infomediaries;2021-11-04;2021-11-05T04:03:19;Sleek;Rubber Factors;service-desk brand empower;false;2021-11-05T07:08:05;2021-11-05T06:41:54
2;navigate;olive;index Pound Guinea;Associate Awesome;39885;76564;74901;93245;61296;14954;2021-11-04;2021-11-04;Associate;Delaware;2021-11-04;2021-11-04T23:16:18;synthesizing;invoice target e-markets;productize e-enable Investor;false;2021-11-04T17:16:57;2021-11-04T16:14:28
3;non-volatile Concrete;Liaison Cotton Baby;Investment;Cheese;50001;9974;75117;99115;56836;22826;2021-11-04;2021-11-05;Fresh capacitor;Fantastic Savings monitoring;2021-11-04;2021-11-05T09:29:27;redundant Steel USB;Games generating;cross-media navigating;true;2021-11-05T07:44:03;2021-11-04T17:03:41
4;up Liberia;matrix Credit;engage connecting;Salad Franc optimal;31988;65125;71947;66115;96279;37704;2021-11-05;2021-11-05;invoice Wooden initiatives;Avon orange convergence;2021-11-05;2021-11-05T08:55:51;IB loyalty Supervisor;Web Baby Consultant;grow;false;2021-11-04T17:44:46;2021-11-05T07:53:18
5;Buckinghamshire circuit;firewall AGP Open-source;Bacon;open-source;39658;98553;79805;42852;55277;43962;2021-11-05;2021-11-04;Shirt THX;Direct green;2021-11-05;2021-11-04T22:38:27;Soap Granite Savings;salmon Cook Global;Ridge e-services States;false;2021-11-05T01:17:18;2021-11-04T21:57:32
6;SCSI invoice;deposit Inverse;SAS capacitor;out-of-the-box;37736;74157;54745;23919;73052;61999;2021-11-05;2021-11-05;Wells;microchip;2021-11-05;2021-11-04T16:11:13;Mission;Account Account;Jewelery;true;2021-11-05T09:52:28;2021-11-05T07:08:55
7;Pennsylvania;Communications;HDD;Tanzania Small invoice;11609;2098;25872;49093;84158;24973;2021-11-04;2021-11-05;deposit;SQL Incredible;2021-11-05;2021-11-04T14:25:16;input;hacking Fuerte;Product Corporate programming;false;2021-11-05T00:35:26;2021-11-04T20:20:28
8;Berkshire Dominica;Creative Canyon;Forge;Global Research;81535;8083;4650;28510;77382;33350;2021-11-04;2021-11-04;Incredible bifurcated back-end;Awesome Integrated;2021-11-05;2021-11-04T18:23:38;green end-to-end;haptic;robust;false;2021-11-04T17:21:32;2021-11-05T02:33:53
9;integrated;overriding web-readiness;deposit leading;whiteboard multi-byte;45352;51260;78083;40554;15317;76353;2021-11-05;2021-11-04;Dynamic;Kwacha Bond South;2021-11-05;2021-11-04T17:04:52;Baby;French Strategist;Polarised;true;2021-11-04T21:10:10;2021-11-04T22:56:53
10;administration Coordinator invoice;Investment Soap;bleeding-edge incubate;e-commerce;81664;69688;32037;13822;11761;48176;2021-11-04;2021-11-04;grow Ways;up;2021-11-05;2021-11-05T05:09:47;Wooden Avon matrix;digital;Agent Mexico;false;2021-11-04T14:09:22;2021-11-04T14:17:39
