id;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Balanced Car;2021-11-04T18:34:29;SMS;Optimization Chief Concrete;true;2021-11-05T05:33:01;2021-11-04T15:12:24
2;collaboration digital;2021-11-04T17:49:21;Frozen;Wooden virtual;false;2021-11-05T07:15:03;2021-11-04T16:45:11
3;Cloned;2021-11-05T10:17:48;deposit;definition;true;2021-11-04T15:23:33;2021-11-05T06:27:23
4;Loan withdrawal;2021-11-04T19:21:51;navigate Representative;Compatible;true;2021-11-04T13:19:07;2021-11-04T23:36:32
5;core;2021-11-04T21:42:43;reintermediate portals;Tuvalu Shilling;false;2021-11-05T08:33:10;2021-11-05T10:46:49
6;neural CSS strategic;2021-11-05T06:57:07;primary;Oregon transmit;false;2021-11-05T08:16:31;2021-11-05T10:58:09
7;calculating Plastic;2021-11-04T16:55:04;initiatives Dam;Shoes;true;2021-11-05T02:44:39;2021-11-05T05:36:40
8;turn-key Avon;2021-11-04T21:00:01;next-generation Associate Future;Cambridgeshire indexing Tuna;false;2021-11-04T15:00:06;2021-11-05T01:20:35
9;payment capability cultivate;2021-11-04T14:53:39;withdrawal;connect Tasty;true;2021-11-04T19:29:40;2021-11-04T23:53:37
10;Inlet methodologies;2021-11-04T20:58:14;Planner;FTP;true;2021-11-05T12:21:53;2021-11-05T01:01:02
