id;code;lib_ar;lib_en;dateop;util;modified_by;op;is_deleted;created_date;modified_date
1;proactive;Account generating;Account;2021-11-05T09:28:10;user-facing;Aruba;compress;true;2021-11-05T12:46:16;2021-11-04T20:58:16
2;Wisconsin;front-end Future;Oregon;2021-11-04T14:52:29;time-frame Springs;cutting-edge technologies Metal;Loan Optimized Bike;true;2021-11-04T13:47:03;2021-11-04T15:36:45
3;Personal olive Mountains;withdrawal experiences International;Branch;2021-11-05T09:22:50;white;SQL;Buckinghamshire GB;false;2021-11-04T19:44:43;2021-11-04T23:22:41
4;override attitude-oriented navigate;District Cotton;Aruba;2021-11-04T16:56:19;Louisiana;Indiana;black Sleek monitor;false;2021-11-05T00:08:41;2021-11-04T22:34:19
5;Legacy Reverse-engineered Beauty;wireless;Vermont Garden;2021-11-05T08:21:34;Credit up navigating;benchmark;user-centric Accounts;false;2021-11-05T09:15:13;2021-11-05T09:45:28
6;Baby;override copy;Ridge Account Pants;2021-11-05T06:06:26;withdrawal;Wooden payment;Music;false;2021-11-04T21:33:40;2021-11-05T07:35:45
7;Fresh;SQL Central Factors;heuristic Shirt;2021-11-05T09:29:58;Avon Liaison PCI;Burundi Toys Computers;lime e-commerce;true;2021-11-05T09:51:38;2021-11-04T22:17:25
8;gold parse;synthesizing Junctions;Movies;2021-11-04T23:19:52;XML Tuna Pound;Paradigm EXE Borders;deposit;true;2021-11-05T01:51:05;2021-11-05T02:59:08
9;platforms Licensed interfaces;back-end lavender Representative;bandwidth;2021-11-04T20:52:49;Berkshire Hat Developer;Movies;Lights Pound;false;2021-11-04T15:17:58;2021-11-04T22:20:31
10;calculate;value-added XML FTP;Integration alarm Falkland;2021-11-04T18:32:46;scale COM;Small Investment Checking;matrices parsing Creative;true;2021-11-05T07:00:34;2021-11-05T00:08:25
