id;code;lib;annee;mois;date_calcul;date_valid;date_payroll;total_cotis;total_retenue;total_taxable;total_tax;total_net;total_net_devise;taux_change;calcul_by;effect_by;date_situation;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;intelligence;SCSI;5795;59195;2021-11-04;2021-11-04;2021-11-04;22475;30476;29137;16770;12242;98500;42515;Mountain Centralized;deposit testing drive;2021-11-04;2021-11-04T20:58:19;North;infomediaries National;District Orchestrator;reboot District Refined;true;2021-11-04T19:19:52;2021-11-04T22:58:33
2;Cambridgeshire Checking stable;Central;79602;44882;2021-11-05;2021-11-04;2021-11-04;23361;73419;45929;62864;11997;48411;40038;Persistent;withdrawal Account;2021-11-05;2021-11-04T14:07:44;Jersey protocol quantifying;Technician Tobago Convertible;Fish;Dakota Alabama;true;2021-11-04T20:43:37;2021-11-05T02:16:25
3;connect bypassing Concrete;Personal Neck;86157;77911;2021-11-05;2021-11-04;2021-11-05;42644;63436;82415;49128;55652;55032;42819;deposit Hat;morph;2021-11-05;2021-11-04T14:34:36;online;Quality;Dinar Maine;orchid architectures;false;2021-11-05T06:02:21;2021-11-05T11:20:29
4;Cheese Station;optical Chief;18681;37993;2021-11-04;2021-11-04;2021-11-04;49854;22021;32;80826;36687;58753;15353;Reverse-engineered Baby;reinvent Track Berkshire;2021-11-05;2021-11-05T03:58:06;Personal Games Cotton;deposit Shilling invoice;Health Soft;Metal;false;2021-11-04T22:13:07;2021-11-04T17:11:06
5;Car Fantastic Sweden;parallelism envisioneer;23159;17988;2021-11-04;2021-11-04;2021-11-05;64243;92652;41656;79502;78816;311;48214;infomediaries Fully-configurable Associate;Wisconsin;2021-11-05;2021-11-04T21:26:52;Concrete interactive;Architect deposit;Christmas;monitoring transmitting;true;2021-11-04T13:47:26;2021-11-04T21:01:11
6;fresh-thinking Soap;Central;25511;59009;2021-11-04;2021-11-05;2021-11-05;26738;68188;5165;6682;94810;95059;95922;Digitized Exclusive;Valley contingency Chicken;2021-11-05;2021-11-04T17:32:15;revolutionize Concrete platforms;capacitor Alabama open-source;Arizona content;Shoes productize;true;2021-11-05T09:01:01;2021-11-05T10:00:05
7;application system;Concrete;47676;11980;2021-11-05;2021-11-04;2021-11-05;7750;5610;2475;33250;27560;61320;45310;Principal Dollar payment;Refined;2021-11-04;2021-11-05T00:44:46;bus XML;Chicken Loan;plum;payment Bhutan deposit;true;2021-11-05T10:58:23;2021-11-05T05:40:37
8;markets;Incredible;53670;91364;2021-11-04;2021-11-05;2021-11-04;35218;56967;29839;37846;38665;51151;84874;Michigan;Engineer orchid;2021-11-05;2021-11-05T03:15:00;RAM Senior;SQL digital;deposit green;calculating;true;2021-11-05T08:35:31;2021-11-04T20:26:20
9;copy;Credit;70453;39101;2021-11-05;2021-11-04;2021-11-05;89600;76400;37620;20990;50966;70285;28575;streamline Turkmenistan Account;Soft model Automotive;2021-11-04;2021-11-05T04:30:39;Wooden Swaziland;Pike;Plastic;neural Loan;true;2021-11-04T15:51:53;2021-11-05T04:55:12
10;Barthelemy;Account Account group;69478;63487;2021-11-04;2021-11-05;2021-11-04;76880;92159;63887;54472;11068;95527;71794;Internal Fish Executive;auxiliary;2021-11-05;2021-11-05T09:03:31;revolutionary firewall Haven;Optimization Chicken Plastic;executive Paradigm;PCI Plastic;true;2021-11-04T21:11:13;2021-11-04T14:38:57
