id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Reactive Face mindshare;SMTP Chicken parsing;engineer SAS Tools;Wall Investor Swedish;2021-11-04T20:45:25;Myanmar back;Cotton alarm;false;2021-11-05T08:52:59;2021-11-04T18:01:09
2;deposit;redefine compelling;Pizza motivating e-tailers;Metal;2021-11-04T21:12:17;Car;panel;true;2021-11-04T19:10:54;2021-11-05T07:05:15
3;SQL Concrete;Granite;Customer Frozen deposit;bandwidth-monitored matrix;2021-11-05T12:12:01;Salad;Credit Account Devolved;false;2021-11-05T07:54:39;2021-11-05T00:45:09
4;Ergonomic Throughway transmit;customer synthesize;sticky;Cheese Hawaii compelling;2021-11-05T10:25:23;interactive deposit;parse input;true;2021-11-05T03:25:37;2021-11-04T16:28:34
5;USB;initiatives;Cambridgeshire;Pine array Avon;2021-11-05T02:13:48;initiatives;Denar firewall;false;2021-11-04T15:29:15;2021-11-04T18:51:34
6;calculate;deposit backing;B2C convergence;adapter;2021-11-04T23:22:17;Metal;systems Extended Dominica;false;2021-11-04T19:06:58;2021-11-04T14:15:31
7;index Electronics Ergonomic;matrix Garden Handcrafted;Credit;gold Agent;2021-11-05T09:09:25;Bedfordshire Analyst;Locks Bermuda;false;2021-11-05T03:58:59;2021-11-05T09:07:40
8;Legacy killer;Borders;Granite functionalities;Granite;2021-11-04T21:32:12;invoice bifurcated;override compress;true;2021-11-04T22:07:08;2021-11-05T06:00:47
9;Unbranded;Verde Steel;Loan Movies;Garden HDD;2021-11-05T10:30:47;Bedfordshire;AGP Assistant Hampshire;true;2021-11-04T23:35:57;2021-11-04T16:23:45
10;Plastic 3rd;Lari Incredible;Synchronised;schemas Wisconsin interfaces;2021-11-04T18:22:42;Advanced Isle;Personal indexing;true;2021-11-05T03:43:45;2021-11-04T15:23:03
