id;code;lib_ar;lib_en;is_display;annee_debut;mois_debut;annee_fin;mois_fin;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;virtual;Georgia Regional withdrawal;Card;false;92582;2860;82015;68513;paradigms redundant Alley;2021-11-05T05:28:30;SMS;Implemented olive;false;2021-11-04T14:27:55;2021-11-04T13:31:10
2;communities IB primary;XSS Implementation;bypass programming;true;94775;50244;57319;42255;Tactics feed;2021-11-04T19:19:32;Persistent;technologies Moldova;false;2021-11-05T06:58:21;2021-11-05T00:03:12
3;Associate Mali;sensor Oval;Shoes;false;60488;45938;94252;55205;Small;2021-11-05T02:45:53;portal architectures;Wisconsin back-end;false;2021-11-04T23:54:59;2021-11-04T13:50:08
4;Czech Investment;Practical Wooden;compressing Soft;true;5719;71691;14234;82404;archive Rue;2021-11-04T19:08:24;hacking;parsing Incredible;true;2021-11-04T17:05:45;2021-11-05T11:40:27
5;Comoros;THX Grocery Jersey;streamline;false;97221;84818;38597;35403;Clothing invoice;2021-11-05T01:35:12;wireless Chair lime;International XSS Jersey;true;2021-11-04T15:50:36;2021-11-04T14:36:38
6;Springs Principal Wooden;Ergonomic invoice Fish;Plastic;true;10548;12451;25587;58850;redefine;2021-11-05T11:36:22;Mongolia digital Burundi;Response withdrawal;true;2021-11-05T05:17:25;2021-11-05T04:45:49
7;emulation;Units;open-source;false;6356;98717;28368;62900;BEAC;2021-11-05T12:18:10;National green e-services;override Cambridgeshire;true;2021-11-04T14:38:00;2021-11-05T00:25:37
8;Facilitator SAS;projection and;Computer;false;24654;52478;66784;10327;Ergonomic Bedfordshire Games;2021-11-05T11:16:50;haptic Outdoors;Customer;true;2021-11-04T15:32:06;2021-11-05T00:08:20
9;Total;transmit;system Checking;false;19092;60687;54163;93993;Concrete;2021-11-05T06:28:13;bypassing rich Gloves;complexity;false;2021-11-04T17:23:04;2021-11-05T06:41:19
10;Buckinghamshire Versatile Outdoors;1080p Soft deposit;Avon approach Corner;false;63576;92527;70093;63177;Borders Licensed;2021-11-05T09:19:54;neural-net Toys Kentucky;executive;false;2021-11-05T05:11:15;2021-11-05T02:25:45
