id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;upward-trending sticky;bypassing;Future alarm Buckinghamshire;FTP;2021-11-05T03:10:38;Direct Investor;matrix Borders invoice;true;2021-11-05T05:12:03;2021-11-04T13:25:25
2;parsing;Business-focused;e-enable;back-end;2021-11-04T23:00:52;purple web-readiness;initiatives implementation Soap;false;2021-11-05T08:38:49;2021-11-04T18:06:48
3;transparent;Ocean Account;protocol neural;Re-engineered back-end system;2021-11-04T13:30:41;Concrete Korea;Designer Baby Toys;true;2021-11-05T03:52:10;2021-11-05T04:13:59
4;Small Automotive;Generic;US;Optimization Fantastic;2021-11-05T03:02:14;deposit Guadeloupe Fantastic;Movies bifurcated Club;true;2021-11-04T20:05:04;2021-11-04T20:20:51
5;Ergonomic copy;JBOD Soft;Sausages hacking Meadow;Illinois Soft;2021-11-04T13:21:47;Account monetize;optical gold Fish;false;2021-11-04T15:18:49;2021-11-05T13:05:51
6;Buckinghamshire synthesize;systems;Clothing;cross-media;2021-11-04T13:36:24;Games architect;EXE object-oriented;false;2021-11-05T00:06:40;2021-11-05T07:56:18
7;visionary bifurcated;hack;client-driven Assimilated Networked;Creative;2021-11-05T05:02:39;Configuration Licensed;Lead Implementation Common;false;2021-11-05T12:34:33;2021-11-05T12:42:10
8;user-facing Rubber Baby;pixel system-worthy;Track;PCI architect Health;2021-11-04T18:53:35;Fundamental empower target;Market Forges;true;2021-11-05T12:12:47;2021-11-05T12:41:20
9;infomediaries;Shirt Land Soft;drive transmit;Soft Practical;2021-11-04T14:06:21;Bike programming;Grocery;false;2021-11-05T12:24:37;2021-11-05T06:46:30
10;deposit;needs-based;Paradigm;navigating world-class;2021-11-05T11:41:10;Chips Cotton;Berkshire THX Mobility;false;2021-11-04T17:37:10;2021-11-05T13:06:32
