id;util;date_situation;dateop;modified_by;created_by;op;is_deleted;created_date;modified_date
1;Granite Fresh payment;2021-11-05;2021-11-04T21:46:06;FTP analyzing deliverables;invoice task-force;Chair Market e-services;false;2021-11-04T18:06:28;2021-11-05T11:54:46
2;contingency yellow Health;2021-11-04;2021-11-05T00:31:04;transmitting Down-sized;up state copying;Loan PCI rich;false;2021-11-04T17:39:42;2021-11-04T22:10:36
3;Bacon;2021-11-05;2021-11-05T03:01:34;ability Tasty payment;monitoring grey Central;Account platforms Books;true;2021-11-04T15:22:56;2021-11-05T09:02:10
4;Ameliorated;2021-11-04;2021-11-05T04:53:49;parsing;Small efficient;& Central AI;true;2021-11-04T17:15:06;2021-11-04T22:44:29
5;mission-critical lime blue;2021-11-05;2021-11-05T12:31:46;application;monitor envisioneer;European;true;2021-11-04T21:37:12;2021-11-04T14:51:23
6;hard Producer deploy;2021-11-05;2021-11-04T13:56:23;hub Electronics;Bedfordshire;Analyst;false;2021-11-05T07:51:53;2021-11-05T12:48:29
7;port Keyboard SAS;2021-11-04;2021-11-05T12:05:58;Beauty;bypassing;invoice magnetic Home;true;2021-11-05T01:21:30;2021-11-05T09:32:34
8;Producer Shoes protocol;2021-11-05;2021-11-04T21:12:33;azure Dominican;channels Chips mobile;fault-tolerant mesh;true;2021-11-04T18:05:24;2021-11-04T14:20:42
9;alliance Bedfordshire Berkshire;2021-11-04;2021-11-04T14:02:48;Gibraltar complexity 24/365;Arizona architect Indiana;Health;false;2021-11-05T01:45:10;2021-11-05T08:17:15
10;grid-enabled Pula Dollar;2021-11-04;2021-11-04T13:32:53;connecting;magnetic;Soap;true;2021-11-05T07:30:17;2021-11-04T17:37:21
