id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;SCSI;Rubber;Radial Assimilated;portals deposit frictionless;2021-11-05T03:16:21;Account;Rubber;true;2021-11-04T19:17:44;2021-11-04T13:44:14
2;system Fantastic navigating;parsing engineer;Operative Shoes;Fish d'Ivoire;2021-11-05T01:56:33;transition Baht;Soft Licensed Soap;false;2021-11-04T22:25:24;2021-11-05T09:45:04
3;Togo Fresh Cotton;Identity USB;Security bandwidth;Cotton;2021-11-05T02:09:44;calculating;Security Towels upward-trending;true;2021-11-05T02:36:10;2021-11-04T22:53:53
4;Pants;Chicken Account;Mouse deposit bandwidth;Nebraska;2021-11-05T04:08:02;Phased Meadow Directives;e-markets portals;true;2021-11-05T11:35:21;2021-11-04T19:13:17
5;unleash parallelism;Azerbaijan Balboa;Direct cross-platform;best-of-breed Practical;2021-11-04T15:05:29;Handcrafted facilitate Wooden;Home viral programming;false;2021-11-05T03:51:16;2021-11-04T16:57:59
6;Refined PCI;Trafficway;Marketing primary;Concrete;2021-11-05T11:23:26;Money Innovative Franc;Shoes cross-media;false;2021-11-05T07:24:10;2021-11-04T20:58:55
7;Table attitude-oriented and;Account next-generation;Credit;navigating;2021-11-05T01:43:43;Sleek Associate;Coordinator withdrawal Cotton;false;2021-11-04T21:51:39;2021-11-05T05:59:44
8;Bermuda redefine;invoice;Movies Orchestrator Strategist;Fantastic;2021-11-05T06:49:44;Licensed up;Director Chicken;false;2021-11-04T15:39:50;2021-11-05T09:44:13
9;Avon Dam;Jamaica Toys;Fantastic;Orchard Licensed synthesizing;2021-11-04T19:40:13;Soap Soft Computers;Customer Federation;false;2021-11-04T20:55:14;2021-11-05T01:03:48
10;Table Equatorial;Salad Director;PNG transitional Central;green Consultant firewall;2021-11-04T15:56:19;benchmark;generating Accounts synthesizing;false;2021-11-04T16:18:59;2021-11-04T13:29:31
