id;annee;payroll_min;payroll_max;impo_value;util;dateop;date_modif;modified_by;op;is_deleted
1;99018;50369;55689;5312;Loan Cloned Handmade;2021-11-04T21:33:08;2021-11-05T11:57:00;Towels Ohio Soft;Nevada Business-focused;true
2;68053;59421;94591;62555;Carolina Intelligent;2021-11-04T20:59:41;2021-11-04T23:55:33;Strategist Gorgeous Keys;invoice Bermuda;false
3;14013;84221;40480;17124;Quality Orchestrator Pound;2021-11-05T12:46:04;2021-11-05T10:00:27;Loan Wooden Jewelery;auxiliary Checking;false
4;10132;25294;97276;49515;Organic contextually-based;2021-11-04T14:13:09;2021-11-05T07:52:55;Bedfordshire Architect;Bacon;true
5;21507;4211;87341;78810;quantify;2021-11-04T19:46:29;2021-11-05T12:30:37;Avon bypassing;Shoes Borders;true
6;594;10611;7034;2615;transmit;2021-11-04T22:23:02;2021-11-05T06:50:20;indexing;line;false
7;77010;92046;30336;11263;Fantastic input;2021-11-05T00:13:11;2021-11-05T10:59:54;Liberian;Borders;true
8;19822;65493;71464;56730;Web;2021-11-04T14:24:54;2021-11-05T07:04:51;SDR Home;invoice;false
9;98369;82548;98369;60550;Cambodia Account;2021-11-04T20:31:15;2021-11-04T19:09:23;Arkansas optimizing mobile;online indigo;true
10;89345;28575;56715;20044;Czech;2021-11-05T05:45:38;2021-11-05T07:16:49;pink Cross-platform;Kansas Birr;true
