id;matricule;date_debut;date_fin;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Account Fish GB;2021-11-05;2021-11-05;Cheese compressing Shoes;2021-11-05T04:33:05;Checking index;Administrator;false;2021-11-05T08:04:49;2021-11-04T17:13:10
2;Harbor networks Buckinghamshire;2021-11-04;2021-11-04;Fantastic;2021-11-05T06:29:20;multi-byte;Concrete next-generation;false;2021-11-05T04:32:22;2021-11-05T07:27:38
3;Forward Run;2021-11-05;2021-11-05;Loan;2021-11-04T18:23:23;Executive COM withdrawal;withdrawal;false;2021-11-04T17:35:52;2021-11-05T01:50:34
4;Customer Tools bandwidth;2021-11-05;2021-11-05;paradigms;2021-11-05T00:03:11;Checking;solid lavender platforms;true;2021-11-04T22:21:36;2021-11-04T19:48:54
5;Down-sized;2021-11-05;2021-11-05;utilisation Belarussian monitoring;2021-11-05T05:22:34;methodical Manager;Metal;false;2021-11-05T04:51:06;2021-11-05T07:59:30
6;PCI;2021-11-05;2021-11-04;fuchsia paradigms;2021-11-05T08:45:23;driver Marketing;Alaska;false;2021-11-05T10:23:25;2021-11-04T16:03:59
7;Avon Bulgarian engine;2021-11-05;2021-11-05;Markets Fresh;2021-11-05T02:02:04;Metal Rapids Plastic;withdrawal eyeballs;true;2021-11-05T03:42:56;2021-11-05T10:15:53
8;deposit;2021-11-05;2021-11-04;FTP Optimization grid-enabled;2021-11-04T20:20:26;deposit Cambridgeshire IB;Lari Corporate maroon;true;2021-11-05T08:11:04;2021-11-04T19:13:03
9;Tasty quantifying;2021-11-04;2021-11-04;moratorium Somali Licensed;2021-11-04T22:46:28;bus Card compressing;Congo Greenland Shoes;true;2021-11-05T07:16:57;2021-11-05T03:38:45
10;Som;2021-11-04;2021-11-04;up Creative;2021-11-04T20:07:05;PNG navigating tan;Avon;false;2021-11-05T00:52:30;2021-11-04T20:15:11
