id;code;entity_target;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Accounts Incredible;Run Developer bluetooth;Terrace Director connecting;Refined bypass paradigms;Borders sensor;2021-11-05T05:22:17;web-enabled Peso;pixel black haptic;false;2021-11-04T16:01:43;2021-11-05T06:42:28
2;Manager Account Flats;connecting back-end Refined;innovate haptic;Borders workforce fuchsia;analyzer;2021-11-05T00:27:23;Intranet Ergonomic state;Future-proofed;true;2021-11-04T18:08:41;2021-11-04T14:38:56
3;Bedfordshire violet;Bedfordshire bandwidth Danish;turquoise Cheese;eyeballs Track;Berkshire;2021-11-05T02:38:29;Frozen solution-oriented;Representative innovate intranet;true;2021-11-04T13:25:53;2021-11-04T19:28:15
4;Harbors intranet;Steel Account drive;Computer;Neck Jewelery Utah;Frozen;2021-11-05T02:38:15;Optimization;Universal Seychelles;false;2021-11-04T21:42:59;2021-11-05T04:11:58
5;interactive;strategic bypass Stravenue;Pizza motivating;alarm;Specialist Rubber;2021-11-04T16:03:42;Michigan;technologies;false;2021-11-04T20:51:50;2021-11-05T10:28:39
6;Director Mouse;withdrawal payment;convergence Intelligent dot-com;Kuwait;navigating Investor Loaf;2021-11-05T03:30:02;generating;Industrial Arabia;false;2021-11-05T09:02:33;2021-11-04T15:33:06
7;digital Supervisor Sleek;TCP;Borders;Refined;revolutionary;2021-11-05T11:48:22;Roads Kenyan digital;harness Wisconsin olive;false;2021-11-04T14:46:43;2021-11-05T09:59:41
8;Metal Hawaii;ADP Music Multi-tiered;synthesize;International;Designer moratorium Bedfordshire;2021-11-05T03:02:04;transmit Loan;Granite program;false;2021-11-05T07:40:29;2021-11-05T09:11:26
9;Chair;open-source Implementation networks;Bedfordshire hard invoice;Saint;Florida iterate calculate;2021-11-05T12:26:06;indigo deposit zero;white;false;2021-11-05T07:54:11;2021-11-05T09:57:50
10;utilize;gold Philippines deposit;Frozen parsing logistical;optical Steel;efficient Hryvnia Cotton;2021-11-05T03:32:35;Keyboard hacking Baby;Multi-lateral gold;false;2021-11-04T14:03:50;2021-11-04T21:10:51
