id;priorite;code;lib_ar;lib_en;in_tax;in_social;in_bp;val;date_situation;dateop;modified_by;created_by;util;op;is_deleted;created_date;modified_date
1;32614;Cotton Uganda;needs-based architectures;portals schemas Reactive;false;true;true;55339;2021-11-04;2021-11-04T15:47:12;Principal Grocery e-commerce;Account Loan Borders;Small Fresh;Incredible Beauty portal;true;2021-11-05T03:09:14;2021-11-05T01:53:51
2;83616;Niue override Advanced;protocol;Brand;true;true;true;64539;2021-11-05;2021-11-05T02:59:05;Pass deposit;Dollar override;Wooden XML;deposit schemas;false;2021-11-04T23:04:59;2021-11-05T10:56:45
3;16093;Granite;Generic parsing;programming;false;true;false;60519;2021-11-05;2021-11-05T00:11:59;Borders;Avon Chicken hack;bypass;Buckinghamshire;true;2021-11-05T09:49:17;2021-11-05T01:09:04
4;82944;synergies Tuvalu Central;Internal Garden Granite;Djibouti copy District;true;true;false;1799;2021-11-04;2021-11-05T03:43:44;synthesize Communications;invoice productivity;viral online solution;unleash Metal Solomon;false;2021-11-05T01:58:46;2021-11-04T15:31:01
5;32205;generating Gloves;Leone;Market actuating;false;true;true;83769;2021-11-05;2021-11-05T09:00:03;Data leading-edge Somalia;bypassing;indexing;quantifying tan;true;2021-11-05T10:12:56;2021-11-05T05:09:21
6;669;Auto;Indiana;Architect Pula Soap;false;true;false;80664;2021-11-05;2021-11-04T15:14:34;Identity;fuchsia;Fantastic Chief transmit;B2C;false;2021-11-05T06:29:28;2021-11-04T13:30:01
7;92454;portals;up;Licensed Principal protocol;false;false;true;40364;2021-11-05;2021-11-04T13:37:34;calculating Fantastic;Cambridgeshire interactive;Florida compressing;British;false;2021-11-04T16:47:31;2021-11-04T18:03:43
8;41465;Arizona;Centralized;Algerian proactive;true;true;false;80323;2021-11-05;2021-11-04T16:28:18;Marketing;Switchable Granite;Maryland magnetic green;Business-focused Granite Architect;true;2021-11-05T05:57:55;2021-11-04T20:40:48
9;80967;Savings productivity;AGP Bedfordshire;deposit;false;false;true;38514;2021-11-05;2021-11-05T02:16:49;Corporate;end-to-end;blue connect;Health North;true;2021-11-05T12:05:33;2021-11-04T21:48:59
10;63574;grow Account Virtual;quantify;platforms Dynamic;true;false;false;95951;2021-11-05;2021-11-05T07:49:32;Account Soft;monitor Loan;Cuban withdrawal;French synthesizing;false;2021-11-05T04:54:48;2021-11-05T03:35:06
