id;priorite;val;util;date_situation;dateop;modified_by;created_by;op;is_deleted;created_date;modified_date
1;21951;68431;experiences withdrawal compressing;2021-11-05;2021-11-04T22:23:24;Enhanced;services;bi-directional;true;2021-11-04T15:34:50;2021-11-05T06:58:03
2;35833;39786;synthesizing;2021-11-05;2021-11-05T08:38:33;Computer state bandwidth;Macedonia Sausages Direct;index program;false;2021-11-04T17:22:46;2021-11-05T10:10:37
3;56502;29854;Central;2021-11-04;2021-11-05T09:46:38;e-markets invoice haptic;Consultant;quantifying Bacon Metal;false;2021-11-05T05:03:20;2021-11-05T08:09:57
4;31699;10067;Ergonomic;2021-11-05;2021-11-04T14:07:30;Intelligent;supply-chains wireless Automotive;online Loan;false;2021-11-05T12:27:40;2021-11-05T05:54:21
5;64803;23163;Account Auto;2021-11-05;2021-11-04T23:46:01;fault-tolerant Industrial;task-force;Spring Lebanese relationships;true;2021-11-05T11:54:45;2021-11-04T18:04:18
6;85042;34996;Guinea;2021-11-04;2021-11-05T08:59:03;transition blockchains;Wall;Senior virtual Iceland;true;2021-11-05T06:40:49;2021-11-04T19:04:47
7;23259;64864;Savings;2021-11-04;2021-11-04T14:27:40;Loan Pants;Outdoors green;Ergonomic;false;2021-11-05T04:25:06;2021-11-05T05:33:01
8;26767;93777;tan AI;2021-11-05;2021-11-04T19:48:07;Assistant lavender;Islands;Kip;false;2021-11-04T13:23:59;2021-11-04T15:55:45
9;90066;26904;methodical Orchestrator Arkansas;2021-11-05;2021-11-05T04:06:29;Metal global;Michigan bandwidth-monitored harness;Arizona;false;2021-11-05T04:25:44;2021-11-04T20:19:13
10;4982;79214;Team-oriented Technician;2021-11-04;2021-11-05T09:28:50;heuristic parsing Architect;Down-sized Cove Frozen;Ergonomic 9(E.U.A.-9) SDD;false;2021-11-04T21:02:01;2021-11-04T21:37:51
