id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;withdrawal flexibility Fresh;Oklahoma;circuit deploy Liberia;proactive;2021-11-04T18:37:43;parsing Investment New;transmit;false;2021-11-04T17:24:49;2021-11-04T14:12:01
2;Metal;Mouse Stand-alone haptic;calculating relationships;optimize Ouguiya;2021-11-05T08:11:27;Minnesota back-end Wooden;discrete Decentralized;false;2021-11-04T16:01:04;2021-11-04T17:42:19
3;Buckinghamshire mesh;Concrete;Arizona;Chips United withdrawal;2021-11-04T15:14:00;Enhanced Optimization Handcrafted;Home parse parse;true;2021-11-05T01:18:30;2021-11-04T14:29:53
4;SAS;architectures Health Iowa;Central;extensible copying generation;2021-11-05T11:36:28;pink PCI;panel Locks;true;2021-11-05T06:48:41;2021-11-05T10:00:19
5;Savings Toys;structure Usability;Practical Account;Keyboard;2021-11-05T08:16:47;port Missouri;USB deposit Mobility;false;2021-11-05T11:32:13;2021-11-05T05:24:21
6;models blue;Island Dynamic Shores;Account;Engineer transmit;2021-11-04T16:29:56;Chair interface;Won;true;2021-11-05T06:53:21;2021-11-05T02:23:06
7;quantifying Cambridgeshire card;networks;streamline initiatives;out-of-the-box;2021-11-04T15:24:21;user-centric;Tuna Concrete;true;2021-11-05T06:33:45;2021-11-04T15:04:25
8;Functionality Barbados;orchid Africa Berkshire;Forward;Market bypassing Practical;2021-11-05T03:30:06;Ringgit transmitting interface;engage;false;2021-11-05T10:41:49;2021-11-05T09:09:27
9;Small Afghanistan Steel;copying;Bike Expanded networks;Soap Rubber;2021-11-04T14:58:54;Hat;initiatives Accounts Open-architected;false;2021-11-04T18:49:23;2021-11-04T20:26:03
10;Progressive interface Account;withdrawal Open-source Bedfordshire;Sleek;Malawi;2021-11-05T01:47:30;ADP;Plastic;false;2021-11-05T00:45:20;2021-11-05T10:44:38
