id;annee;full_pay_right;half_pay_right;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;96239;4809;57108;B2B;2021-11-05T02:07:49;Borders;scalable migration;true;2021-11-05T00:18:44;2021-11-04T14:16:30
2;75743;95423;68423;Fresh;2021-11-05T02:44:51;1080p;Knoll Identity;true;2021-11-05T06:27:57;2021-11-05T08:57:01
3;66663;97346;49646;Front-line;2021-11-04T15:45:54;Cotton Functionality real-time;adapter Island;true;2021-11-05T04:04:42;2021-11-05T05:54:56
4;10385;32940;97171;El Dynamic panel;2021-11-04T17:29:56;Virginia;Soft Liaison;true;2021-11-05T00:36:02;2021-11-04T22:34:28
5;53160;28803;75644;needs-based Program;2021-11-05T03:15:22;synthesizing;Pants;true;2021-11-04T20:45:35;2021-11-05T00:11:44
6;35611;57015;36574;Account Handmade;2021-11-05T12:38:48;generation Avon;withdrawal framework;true;2021-11-04T17:04:45;2021-11-05T04:42:46
7;18654;97316;9793;Music;2021-11-04T23:47:11;integrate;Ergonomic Computers installation;true;2021-11-05T11:32:25;2021-11-05T12:30:52
8;68132;45014;34470;Car middleware ADP;2021-11-05T01:39:40;national Outdoors Lodge;Front-line optical Chair;false;2021-11-05T06:51:23;2021-11-05T06:25:26
9;3052;21478;75085;brand Dinar port;2021-11-05T00:58:39;quantifying;payment Buckinghamshire wireless;true;2021-11-04T18:28:04;2021-11-04T22:56:05
10;36435;92685;51233;flexibility;2021-11-04T20:12:54;Mongolia;Bypass Concrete invoice;false;2021-11-05T09:17:53;2021-11-05T08:48:05
