id;code;lib_ar;lib_en;value_taken;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;PCI;Trail partnerships Investor;invoice Inverse;19516;Soft optical;2021-11-05T08:49:30;initiative Kwacha;copying 1080p;true;2021-11-05T04:52:13;2021-11-04T21:12:16
2;client-driven program Division;invoice Ergonomic;navigating;74537;Cheese;2021-11-04T23:03:11;intelligence deposit program;system-worthy;true;2021-11-04T16:56:28;2021-11-05T01:54:41
3;state Cambridgeshire Dynamic;Plastic cross-platform Ball;Virtual;38186;Reactive;2021-11-05T13:05:18;time-frame Steel monetize;primary Central;true;2021-11-04T13:19:59;2021-11-04T23:53:15
4;input Legacy;Panama Practical;ROI Agent;88594;Supervisor Pound Future;2021-11-05T11:36:58;Producer Metal violet;Car proactive;true;2021-11-05T00:46:45;2021-11-05T05:07:54
5;cyan heuristic;Argentina;Branding Avon robust;86982;feed mission-critical;2021-11-05T02:48:12;protocol;Wall Niue Home;true;2021-11-05T03:48:49;2021-11-05T02:16:20
6;Jewelery Ukraine Causeway;Franc 1080p;Incredible back Manager;92220;generation Isle Manager;2021-11-04T14:27:37;model;Concrete Account Handcrafted;true;2021-11-05T02:03:54;2021-11-04T15:34:43
7;Front-line Franc;synergistic calculate;Robust collaboration backing;80395;Music;2021-11-04T22:26:40;Buckinghamshire yellow;withdrawal solutions;true;2021-11-04T17:48:17;2021-11-04T16:51:14
8;Nevada protocol heuristic;Avon;Account;96627;1080p Switchable;2021-11-05T04:13:05;Oklahoma eyeballs;functionalities XML Account;true;2021-11-05T06:06:34;2021-11-05T04:58:29
9;Nebraska mindshare;Coordinator;client-driven Field;57382;synergize;2021-11-05T12:55:20;card Ramp Ringgit;feed target Estonia;false;2021-11-04T19:34:57;2021-11-05T07:05:22
10;navigating drive SQL;deposit;West;54932;Unbranded innovative Florida;2021-11-04T23:50:43;evolve;Producer Functionality;true;2021-11-05T03:52:50;2021-11-04T15:59:15
