id;priorite;code;lib;date_situation;dateop;modified_by;created_by;util;op;is_deleted;created_date;modified_date
1;32348;Ways Designer Card;Monitored whiteboard networks;2021-11-04;2021-11-05T02:45:14;product;withdrawal Oregon;Investment Personal Plains;methodologies;true;2021-11-05T11:34:57;2021-11-05T03:22:38
2;60697;Avon Response;Toys;2021-11-05;2021-11-05T13:01:42;experiences;blue violet Bahamian;Automotive;and cyan Money;false;2021-11-04T20:21:53;2021-11-04T20:58:45
3;10612;methodology Island;transform;2021-11-05;2021-11-04T14:54:01;Buckinghamshire Maryland;Port Creative Horizontal;bandwidth e-tailers Health;Bedfordshire IB Keyboard;true;2021-11-04T13:16:47;2021-11-04T13:21:21
4;85915;Expanded;ADP SMS;2021-11-05;2021-11-05T05:44:52;Small;Soft Rustic;Gabon toolset Borders;Market International;false;2021-11-05T01:23:09;2021-11-05T07:22:22
5;97393;Metal Groves withdrawal;Ergonomic Liaison Oregon;2021-11-04;2021-11-04T17:06:32;Future;hub;Integration;Pines connect;false;2021-11-05T04:02:59;2021-11-04T23:47:27
6;9454;Jewelery;Orchestrator;2021-11-04;2021-11-05T06:52:11;Franc Engineer;Metrics Shoes;invoice Group;web-readiness;true;2021-11-05T04:37:47;2021-11-05T05:23:08
7;61151;transmitting Iowa bandwidth;Granite;2021-11-04;2021-11-04T17:20:10;HTTP;Colon content Washington;Analyst calculating;Cambridgeshire Market digital;false;2021-11-05T03:29:40;2021-11-05T10:34:41
8;68914;compressing multi-byte optimal;program;2021-11-04;2021-11-04T22:11:49;Pound Director Chips;transmitter;Senior Auto cyan;Kids mindshare software;true;2021-11-05T02:58:13;2021-11-04T23:11:22
9;84167;Optional;Tactics web turquoise;2021-11-05;2021-11-05T01:11:53;framework Identity Web;bleeding-edge Awesome;withdrawal Garden Kentucky;solutions;false;2021-11-04T20:44:49;2021-11-05T02:53:24
10;66471;global Gorgeous Fish;bus Accounts Florida;2021-11-04;2021-11-05T06:57:52;Beauty pixel;Principal implement calculate;Australian purple benchmark;Martinique;false;2021-11-04T13:27:38;2021-11-05T08:24:34
