id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;up Connecticut Cambridgeshire;TCP Infrastructure;process Music;Computers Checking Small;2021-11-05T03:32:20;Soap;cross-platform Security;true;2021-11-04T19:21:13;2021-11-05T07:23:27
2;Forint Tome Customizable;invoice Turkey deposit;Concrete EXE deposit;Computers;2021-11-05T04:45:46;European Rubber;Gloves Bedfordshire;false;2021-11-04T21:35:42;2021-11-05T03:49:18
3;Reverse-engineered Chips;Soft GB Clothing;Right-sized Tools;SCSI copying User-friendly;2021-11-04T22:30:18;Oklahoma Fresh zero;West feed Forges;true;2021-11-04T14:22:24;2021-11-05T12:27:21
4;Courts Liaison Liechtenstein;Ball explicit Technician;firewall;Awesome;2021-11-05T09:54:57;withdrawal scalable feed;Bacon Music;true;2021-11-05T08:19:49;2021-11-05T03:48:25
5;Virginia;CFP;Mobility;solution-oriented;2021-11-05T06:40:14;yellow;intranet blue;true;2021-11-05T10:32:50;2021-11-04T21:16:38
6;Kansas;compress improvement reboot;Concrete Industrial Dale;Franc Loan Supervisor;2021-11-04T21:05:51;Granite;Rubber;false;2021-11-04T16:10:54;2021-11-05T08:48:46
7;Dollar;Stravenue;Configuration;Sharable Investment leverage;2021-11-04T20:49:22;Bike Andorra foreground;quantify Bedfordshire;false;2021-11-04T14:11:46;2021-11-05T10:24:01
8;next-generation;Ergonomic;system Gardens;Mandatory Metrics programming;2021-11-05T12:12:20;THX real-time;interfaces;false;2021-11-04T17:49:15;2021-11-05T06:17:49
9;Investment;deposit Pants override;quantifying;Plastic;2021-11-05T01:59:25;Global Designer Somoni;clear-thinking;true;2021-11-04T14:28:02;2021-11-05T01:21:41
10;up XSS;archive Total;Mouse wireless Buckinghamshire;wireless Japan;2021-11-04T13:56:53;Avon mindshare;US Sports;true;2021-11-05T06:05:46;2021-11-04T20:28:33
