id;code;lib_en;lib_ar;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;turquoise;granular plum;Malta card;Borders bluetooth;2021-11-04T18:35:15;Oval wireless lime;Unbranded best-of-breed Phased;true;2021-11-04T14:48:03;2021-11-04T16:35:17
2;Versatile Georgia;fuchsia;firewall model Dynamic;invoice deliverables Practical;2021-11-05T03:34:41;Dynamic;array back-end;false;2021-11-04T16:37:36;2021-11-05T08:34:16
3;payment Open-architected;Borders grey Cotton;Madagascar User-centric quantifying;Refined;2021-11-05T11:31:42;drive;Frozen reboot;false;2021-11-04T15:00:25;2021-11-04T22:49:18
4;systemic RAM;open-source Division Directives;Group 6th Account;static haptic;2021-11-04T20:56:39;initiatives deposit;e-markets Incredible mission-critical;false;2021-11-04T19:57:53;2021-11-05T08:38:19
5;navigate deposit;contextually-based blue contextually-based;recontextualize withdrawal intuitive;index;2021-11-05T07:20:59;tertiary;Shirt;false;2021-11-04T20:40:24;2021-11-05T07:22:50
6;24/7 global;Dynamic;circuit;Berkshire white;2021-11-04T16:59:26;Club;Sports Unbranded;false;2021-11-05T04:22:58;2021-11-05T10:49:33
7;back-end;bypassing digital RAM;indexing;Arizona;2021-11-04T16:49:06;withdrawal;Human Integration Plastic;true;2021-11-05T07:30:20;2021-11-05T12:42:49
8;Wooden;open-source;Optimized;Virginia Cotton Cheese;2021-11-05T05:59:33;Berkshire;Awesome Re-contextualized haptic;true;2021-11-05T12:15:21;2021-11-05T08:05:36
9;Designer paradigms Integration;models Engineer SCSI;Manat orchestration Customer;Eritrea;2021-11-04T19:54:27;Refined Ouguiya;driver;true;2021-11-05T10:34:58;2021-11-04T13:24:53
10;Tasty Arabia bypassing;Spring;Licensed Sum Park;Loan;2021-11-05T02:17:54;Identity Cotton virtual;withdrawal platforms;false;2021-11-04T13:26:12;2021-11-05T09:57:35
