id;code;lib;annee;mois;nb_full_paie;nb_half_paie;nb_non_paie;date_calcul;date_valid;date_payroll;total_cotis;total_retenue;total_taxable;total_tax;total_net;total_net_devise;taux_change;calcul_by;effect_by;date_situation;dateop;modified_by;created_by;op;util;is_deleted;created_date;modified_date
1;Re-engineered;calculating Small;80443;41305;97819;984;19306;2021-11-04;2021-11-04;2021-11-04;27977;69037;53693;56461;84928;33241;68273;front-end;parse;2021-11-04;2021-11-05T00:22:24;Gabon;parsing;online reboot Computers;cross-platform Bacon SAS;false;2021-11-05T06:06:42;2021-11-05T03:54:06
2;Dynamic Baby Rubber;withdrawal;64034;56277;76043;47139;5096;2021-11-05;2021-11-05;2021-11-05;48727;22048;96657;51967;58840;30324;3215;Wyoming Hat Cheese;XSS global;2021-11-05;2021-11-04T23:17:43;Gloves;deposit maximize deposit;primary Concrete;e-tailers Direct;false;2021-11-05T04:15:30;2021-11-04T23:38:14
3;SCSI Borders;driver Idaho;27316;78105;27933;638;86245;2021-11-05;2021-11-04;2021-11-05;4203;32617;51825;81906;93300;79493;57561;synthesize Integration;deposit intermediate Peso;2021-11-05;2021-11-04T15:17:15;Manager Ball Re-contextualized;silver Bacon Response;invoice Solutions;Eritrea Shoes Loan;false;2021-11-04T17:37:19;2021-11-04T19:50:40
4;Awesome navigate;driver Handcrafted Investment;15883;26692;13814;63382;47277;2021-11-05;2021-11-04;2021-11-04;11547;57730;82327;64834;52473;28645;28223;Hawaii auxiliary;panel Solutions;2021-11-04;2021-11-04T17:06:34;panel Integration Practical;Gorgeous Turnpike;deposit;RSS;false;2021-11-04T13:12:11;2021-11-05T00:49:42
5;Outdoors Riel background;Tasty engineer asymmetric;59957;25998;21566;84144;77098;2021-11-05;2021-11-04;2021-11-05;20739;34967;31719;78409;40591;67145;41611;tan Carolina firewall;azure;2021-11-05;2021-11-05T11:53:48;Dale Marketing;copy;state maroon Gorgeous;payment;false;2021-11-04T21:40:25;2021-11-05T09:19:03
6;alarm;architectures Lanka;13190;65284;79665;12981;63887;2021-11-05;2021-11-05;2021-11-04;98368;96399;52621;58471;89953;28505;5707;Buckinghamshire navigating;Mobility Mouse;2021-11-04;2021-11-04T21:08:57;Bacon back-end deposit;real-time bypassing Cotton;Rhode Colombia;Gorgeous Intranet navigating;false;2021-11-04T18:38:59;2021-11-05T05:53:13
7;Fish quantifying;cross-platform Metal;44033;66893;42036;51956;50399;2021-11-04;2021-11-04;2021-11-05;45373;77416;72711;40984;50595;98286;8878;end-to-end Expanded Bolivia;Analyst;2021-11-05;2021-11-04T13:17:52;Well Points;New magenta Organic;Electronics;generation Mobility Future-proofed;true;2021-11-05T09:48:00;2021-11-04T18:07:17
8;Realigned;SMS;87007;18627;48083;73023;43542;2021-11-05;2021-11-04;2021-11-04;83172;8311;44779;21942;88777;15161;28397;Exclusive Movies;e-tailers Refined;2021-11-05;2021-11-05T07:29:14;content-based Andorra;e-commerce connect Marketing;Garden Hat Auto;Account Multi-channelled;false;2021-11-05T00:59:41;2021-11-05T00:23:32
9;compressing Passage;Loan Vermont Account;27511;29107;78338;94451;4913;2021-11-05;2021-11-04;2021-11-04;63727;86473;26426;82440;17921;36492;31840;USB Chicken;Sleek;2021-11-05;2021-11-04T18:56:15;virtual;scale Research;invoice Circles;Niger Associate Metal;true;2021-11-05T08:42:57;2021-11-05T11:42:23
10;e-business metrics bypass;Shoes Outdoors;5826;58370;63786;65746;67037;2021-11-04;2021-11-05;2021-11-04;21422;24663;34963;8987;63343;24337;59364;Fresh Metal;Investment Georgia;2021-11-05;2021-11-04T13:47:16;Brooks frame;Unions Borders connect;Account Bedfordshire;repurpose;true;2021-11-04T21:54:53;2021-11-05T06:03:09
