id;annee;mois;full_pay_right;half_pay_right;full_pay;half_pay;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;66414;8811;18910;41588;87831;96871;Tasty optimize Sleek;2021-11-05T03:44:40;Creative compress Customer;fault-tolerant;false;2021-11-04T23:11:39;2021-11-05T05:17:11
2;31734;84994;64255;82082;25325;28212;invoice optical;2021-11-05T03:01:38;Intuitive Metal TCP;generate Account Facilitator;true;2021-11-04T18:49:52;2021-11-05T08:04:29
3;11803;37831;27418;66172;40393;89813;web-readiness Fresh;2021-11-05T06:16:40;Marketing blockchains infrastructures;Fundamental background;false;2021-11-05T11:43:07;2021-11-04T17:02:57
4;27168;41765;78768;82472;7054;38112;fault-tolerant framework;2021-11-05T00:01:50;Som connecting;yellow North digital;true;2021-11-05T02:46:39;2021-11-05T04:51:24
5;45645;5462;71930;42322;42688;65975;methodologies Field;2021-11-05T12:00:56;Computer Developer;Soft;false;2021-11-05T05:26:00;2021-11-05T10:10:21
6;96267;82570;32002;68797;210;88884;edge Future Designer;2021-11-04T13:32:45;Kuna Timor-Leste;Garden;true;2021-11-04T14:17:11;2021-11-05T00:36:12
7;13072;9087;3690;77875;39163;55145;Soft Practical Engineer;2021-11-05T08:25:14;Loan;alarm solution-oriented;true;2021-11-04T22:20:42;2021-11-05T04:25:44
8;11839;5752;68568;10492;54187;9286;Towels Loan;2021-11-05T08:53:57;policy turn-key expedite;Directives static;false;2021-11-04T18:55:12;2021-11-04T14:16:00
9;49142;55178;28414;16343;53546;56063;Yen;2021-11-05T09:01:31;parsing challenge;Pre-emptive;true;2021-11-05T11:11:11;2021-11-04T18:50:02
10;15666;13304;11659;63360;68904;87509;Kong plug-and-play;2021-11-04T20:42:57;infomediaries executive Soap;Garden;true;2021-11-05T09:22:29;2021-11-05T07:47:27
