id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Loop;teal Configurable Montserrat;SAS online;Bike;2021-11-04T18:18:06;withdrawal Product;Cotton;true;2021-11-05T04:02:26;2021-11-04T20:47:49
2;Sports COM Shoes;calculating;discrete Sports;Product Island;2021-11-05T00:01:26;overriding Generic;wireless connect;false;2021-11-05T05:51:36;2021-11-05T02:53:33
3;generating Idaho;Wooden archive Human;Branding Dynamic;Pass Global;2021-11-05T03:49:42;Usability;Fantastic;true;2021-11-05T04:17:40;2021-11-05T10:25:17
4;quantifying optimize;mindshare Islands;SMS Sterling;Soft Plaza Wooden;2021-11-05T05:15:21;contextually-based Home Card;paradigms;true;2021-11-04T19:45:03;2021-11-05T05:41:02
5;Rubber digital;Loan Reduced Infrastructure;payment;Pines;2021-11-05T09:57:50;ADP withdrawal;Unbranded;true;2021-11-04T22:12:37;2021-11-05T01:35:53
6;Buckinghamshire invoice;reintermediate;Inverse Profound;Afghanistan Lats Small;2021-11-05T04:20:19;parsing;Spring Coordinator Creative;true;2021-11-05T08:00:16;2021-11-04T19:08:10
7;Senegal digital;payment black Courts;eco-centric auxiliary;Central multi-byte;2021-11-05T05:08:00;compress JBOD;Liaison;true;2021-11-05T13:05:25;2021-11-05T04:40:19
8;Terrace Idaho;markets ubiquitous;Concrete e-markets Grenada;bleeding-edge;2021-11-05T04:46:12;Books Won Account;stable;false;2021-11-04T13:12:28;2021-11-05T00:50:46
9;synthesize Refined Roads;experiences override;European Alaska;Chief Extension;2021-11-04T18:13:42;parse methodical;Investment;false;2021-11-04T19:42:24;2021-11-04T19:35:07
10;generating;Metrics back-end;Fresh;mesh;2021-11-04T19:52:48;success;Metrics;true;2021-11-05T00:28:34;2021-11-04T19:17:17
