id;date_situation;dateop;util;modified_by;op;is_deleted;created_date;modified_date
1;2021-11-05;2021-11-04T19:39:33;Card Consultant;strategic;Bedfordshire 24/7 Generic;true;2021-11-05T10:49:24;2021-11-05T09:04:52
2;2021-11-04;2021-11-04T23:35:12;synthesize Distributed;software Steel;lime Specialist;true;2021-11-04T21:05:59;2021-11-05T08:10:16
3;2021-11-04;2021-11-04T14:20:20;Grove;Trail empowering;Cloned real-time;false;2021-11-05T06:45:27;2021-11-05T06:26:00
4;2021-11-05;2021-11-05T11:12:26;plug-and-play users paradigms;Maryland Fresh;Leone Card Fresh;true;2021-11-05T08:56:38;2021-11-05T07:00:19
5;2021-11-05;2021-11-04T16:49:27;THX Soap;Incredible Minnesota Practical;Technician wireless COM;false;2021-11-04T20:34:00;2021-11-05T11:07:04
6;2021-11-04;2021-11-05T06:14:14;Sausages quantify olive;non-volatile budgetary back-end;Fundamental;true;2021-11-05T10:43:15;2021-11-05T10:05:56
7;2021-11-04;2021-11-05T11:30:01;Territories cultivate Gorgeous;Pula Practical;Versatile Colombia Gateway;true;2021-11-05T08:20:41;2021-11-04T22:23:25
8;2021-11-04;2021-11-05T08:31:02;Buckinghamshire;backing Borders Savings;copying leading-edge Creek;true;2021-11-05T00:41:03;2021-11-05T04:38:48
9;2021-11-05;2021-11-05T09:09:45;Loan;evolve deposit;invoice Cliff Computer;true;2021-11-04T23:04:40;2021-11-04T19:43:27
10;2021-11-04;2021-11-04T16:54:34;calculate;Fresh Face;Brooks deposit;false;2021-11-04T14:51:23;2021-11-04T18:42:05
