id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;Table;open-source;Integration;Refined metrics e-commerce;2021-11-05T10:05:00;Internal XML Chips;enterprise Steel;true;2021-11-04T16:55:30;2021-11-05T09:14:57
2;Chad harness;red Dominica;Tasty methodologies Realigned;Chicken Overpass;2021-11-04T23:14:40;Music Investment;Investor compress;false;2021-11-05T04:39:58;2021-11-04T15:00:22
3;Versatile bypass California;JSON Communications;connecting systems;networks;2021-11-05T00:39:43;Baby Borders;SQL Avon;false;2021-11-05T08:37:27;2021-11-04T15:14:39
4;bricks-and-clicks driver;Wooden Computers;pixel Lithuania;Verde Islands Tasty;2021-11-05T09:18:43;uniform Sleek;Franc;true;2021-11-05T05:58:17;2021-11-04T20:41:57
5;global;Future Customer 6th;UIC-Franc;Pennsylvania Unbranded;2021-11-05T05:36:15;synergy Granite;innovative;true;2021-11-04T16:49:55;2021-11-05T11:21:57
6;Chicken methodologies Human;Handcrafted Tasty UIC-Franc;mint Supervisor quantify;quantify Metal Lead;2021-11-05T06:21:02;interface;moratorium;false;2021-11-05T09:28:19;2021-11-04T14:55:40
7;Shoes Berkshire;Table streamline Practical;ROI circuit Licensed;Sterling Loan Security;2021-11-05T10:28:10;Front-line;Buckinghamshire Compatible Fish;true;2021-11-04T15:13:17;2021-11-04T15:50:54
8;magenta;Designer Knoll;green Architect Web;Bedfordshire Fresh Pizza;2021-11-05T12:00:47;rich;Brazilian;true;2021-11-05T05:25:53;2021-11-05T08:38:43
9;Toys auxiliary bandwidth;Tools quantify;SMS Personal;generate;2021-11-05T08:58:01;national;Soap Investor Central;false;2021-11-04T21:03:47;2021-11-05T09:56:04
10;Azerbaijanian Steel turquoise;Loan Future Re-contextualized;Shirt Monetary synthesize;Optional;2021-11-05T11:45:54;Generic;Cheese;false;2021-11-05T12:37:54;2021-11-04T18:11:20
