id;code;lib_ar;lib_en;util;dateop;modified_by;op;is_deleted;created_date;modified_date
1;paradigms Turnpike;Lithuania;Avon;calculate Outdoors;2021-11-04T19:20:29;bypass;Computer Computer;true;2021-11-05T00:11:10;2021-11-05T07:45:13
2;Implemented Hampshire;Intelligent Associate;Shoes Progressive;Loan Louisiana;2021-11-04T22:51:15;extensible;indigo;false;2021-11-05T00:35:49;2021-11-04T21:02:17
3;maximize;white;Toys Direct;Buckinghamshire;2021-11-05T11:19:08;auxiliary target transmit;Programmable enable;false;2021-11-05T09:29:43;2021-11-05T05:45:44
4;channels Practical;Berkshire;parse sensor;Libyan olive Home;2021-11-04T21:59:57;input invoice;Frozen;true;2021-11-05T07:21:18;2021-11-05T08:17:29
5;Money Health Account;bypass;Phased Steel Corporate;hack success Account;2021-11-05T02:38:13;Balboa driver;Kids;true;2021-11-05T07:40:37;2021-11-05T03:41:38
6;Soft;Colorado connecting whiteboard;Proactive Refined;PNG withdrawal;2021-11-05T12:05:29;dedicated Re-engineered New;Human Robust;false;2021-11-05T09:30:25;2021-11-05T02:23:09
7;bus Chair;bricks-and-clicks Tajikistan;Lek Manat;Investment turquoise copy;2021-11-05T08:00:56;Cambridgeshire;UIC-Franc Small Chair;false;2021-11-04T19:38:37;2021-11-04T17:12:26
8;Self-enabling;stable Corporate front-end;Architect hacking;Ergonomic;2021-11-05T03:43:37;Usability;Frozen paradigms Electronics;false;2021-11-05T03:57:56;2021-11-05T13:00:14
9;deposit innovate;relationships Designer;Developer;Borders Coordinator;2021-11-05T12:40:07;Cedi;invoice methodical;false;2021-11-05T13:05:52;2021-11-05T06:41:20
10;back-end copying cross-platform;ubiquitous synthesizing;Generic;Carolina Israel Fish;2021-11-04T16:18:10;reboot;Officer needs-based;false;2021-11-05T03:54:42;2021-11-04T13:25:49
